"Age","Workclass","Fnlwgt","Education.","Education.num","Marital.status","Occupation","Relationship","Race","Sex","Capital.gain","Capital.loss","Hours.per.week","Native.country","Class"
39,1,77516,1,13,1,1,1,1,1,2174,0,40,1,1
50,2,83311,1,13,2,2,2,1,1,0,0,13,1,1
38,3,215646,3,9,3,3,1,1,1,0,0,40,1,1
53,3,234721,4,7,2,3,2,4,1,0,0,40,1,1
28,3,338409,1,13,2,5,5,4,5,0,0,40,5,1
37,3,284582,6,14,2,2,5,1,5,0,0,40,1,1
49,3,160187,7,5,7,7,1,4,5,0,0,16,7,1
52,2,209642,3,9,2,2,2,1,1,0,0,45,1,8
31,3,45781,6,14,1,5,1,1,5,14084,0,50,1,8
42,3,159449,1,13,2,2,2,1,1,5178,0,40,1,8
37,3,280464,11,10,2,2,2,4,1,0,0,80,1,8
30,1,141297,1,13,2,5,2,12,1,0,0,40,12,8
23,3,122272,1,13,1,1,13,1,5,0,0,30,1,1
32,3,205019,14,12,1,14,1,4,1,0,0,50,1,1
34,3,245487,15,4,2,15,2,15,1,0,0,45,15,1
25,2,176756,3,9,1,16,13,1,1,0,0,35,1,1
32,3,186824,3,9,1,17,17,1,1,0,0,40,1,1
38,3,28887,4,7,2,14,2,1,1,0,0,50,1,1
43,2,292175,6,14,3,2,17,1,5,0,0,45,1,8
40,3,193524,20,16,2,5,2,1,1,0,0,60,1,8
54,3,302146,3,9,21,7,17,4,5,0,0,20,1,1
35,22,76845,7,5,2,16,2,4,1,0,0,40,1,1
43,3,117037,4,7,2,15,2,1,1,0,2042,40,1,1
59,3,109015,3,9,3,24,17,1,5,0,0,40,1,1
56,25,216851,1,13,2,24,2,1,1,0,0,40,1,8
19,3,168294,3,9,1,26,13,1,1,0,0,40,1,1
39,3,367260,3,9,3,2,1,1,1,0,0,80,1,1
49,3,193366,3,9,2,26,2,1,1,0,0,40,1,1
23,25,190709,14,12,1,29,1,1,1,0,0,52,1,1
20,3,266015,11,10,1,14,13,4,1,0,0,44,1,1
45,3,386940,1,13,3,2,13,1,1,0,1408,40,1,1
30,22,59951,11,10,2,1,13,1,1,0,0,40,1,1
22,1,311512,11,10,2,7,2,4,1,0,0,15,1,1
48,3,242406,4,7,1,17,17,1,1,0,0,40,34,1
21,3,197200,11,10,1,17,13,1,1,0,0,40,1,1
19,3,544091,3,9,36,1,5,1,5,0,0,25,1,1
48,2,265477,14,12,2,5,2,1,1,0,0,40,1,1
31,3,507875,7,5,2,17,2,1,1,0,0,43,1,1
53,2,88506,1,13,2,5,2,1,1,0,0,40,1,1
24,3,172987,1,13,2,24,2,1,1,0,0,50,1,1
49,3,94638,3,9,21,1,17,1,5,0,0,40,1,1
25,3,289980,3,9,1,3,1,1,1,0,0,35,1,1
57,22,337895,1,13,2,5,2,4,1,0,0,40,1,8
53,3,144361,3,9,2,17,2,1,1,0,0,38,1,1
44,3,128354,6,14,3,2,17,1,5,0,0,40,1,1
41,1,101603,46,11,2,26,2,1,1,0,0,40,1,1
29,3,271466,46,11,1,5,1,1,1,0,0,43,1,1
25,3,32275,11,10,2,2,5,48,5,0,0,40,1,1
47,3,51835,49,15,2,5,5,1,5,0,1902,60,49,8
50,22,251585,1,13,3,2,1,1,1,0,0,55,1,8
47,51,109832,3,9,3,2,1,1,1,0,0,60,1,1
43,3,237993,11,10,2,24,2,1,1,0,0,40,1,8
46,3,216666,53,3,2,17,2,1,1,0,0,40,15,1
35,3,56352,46,11,2,7,2,1,1,0,0,40,34,1
41,3,147372,3,9,2,1,2,1,1,0,0,48,1,1
30,3,188146,3,9,2,17,2,1,1,5013,0,40,1,1
30,3,59496,1,13,2,14,2,1,1,2407,0,40,1,1
48,3,149640,3,9,2,15,2,1,1,0,0,40,1,1
42,3,116632,20,16,2,5,2,1,1,0,0,45,1,8
29,3,105598,11,10,3,24,1,1,1,0,0,58,1,1
36,3,155537,3,9,2,26,2,1,1,0,0,40,1,1
28,3,183175,11,10,3,1,1,1,5,0,0,40,1,1
53,3,169846,3,9,2,1,5,1,5,0,0,40,1,8
49,51,191681,11,10,2,2,2,1,1,0,0,50,1,8
19,3,101509,11,10,1,5,13,1,1,0,0,32,1,1
31,3,309974,1,13,21,14,13,4,5,0,0,40,1,1
29,2,162298,1,13,2,14,2,1,1,0,0,70,1,8
23,3,211678,11,10,1,17,1,1,1,0,0,40,1,1
79,3,124744,11,10,2,5,69,1,1,0,0,20,1,1
27,3,213921,3,9,1,7,13,1,1,0,0,40,15,1
40,3,32214,14,12,2,1,2,1,1,0,0,40,1,1
18,3,309634,4,7,1,7,13,1,5,0,0,22,1,1
31,25,125927,15,4,2,16,2,1,1,0,0,40,1,1
18,3,446839,3,9,1,14,1,1,1,0,0,30,1,1
52,3,276515,1,13,2,7,2,1,1,0,0,40,5,1
46,3,51618,3,9,2,7,5,1,5,0,0,40,1,1
59,3,159937,3,9,2,14,2,1,1,0,0,48,1,1
44,3,343591,3,9,3,26,1,1,5,14344,0,40,1,8
53,3,346253,3,9,3,14,13,1,5,0,0,35,1,1
49,25,268234,3,9,2,29,2,1,1,0,0,40,1,8
33,3,202051,6,14,2,5,2,1,1,0,0,50,1,1
30,3,54334,7,5,1,14,1,1,1,0,0,40,1,1
43,22,410867,20,16,1,5,1,1,5,0,0,50,1,8
57,3,249977,46,11,2,5,2,1,1,0,0,40,1,1
37,3,286730,11,10,3,26,17,1,5,0,0,40,1,1
28,3,212563,11,10,3,17,17,4,5,0,0,25,1,1
34,25,226296,1,13,2,29,2,1,1,0,0,40,1,8
29,25,115585,11,10,1,3,1,1,1,0,0,50,1,1
48,2,191277,20,16,2,5,2,1,1,0,1902,60,1,8
37,3,202683,11,10,2,14,2,1,1,0,0,48,1,8
48,3,171095,14,12,3,2,17,1,5,0,0,40,91,1
32,22,249409,3,9,1,7,13,4,1,0,0,40,1,1
76,3,124191,6,14,2,2,2,1,1,0,0,40,1,8
44,3,198282,1,13,2,2,2,1,1,15024,0,60,1,8
47,2,149116,6,14,1,5,1,1,5,0,0,50,1,1
20,3,188300,11,10,1,24,13,1,5,0,0,40,1,1
29,3,103432,3,9,1,26,1,1,1,0,0,40,1,1
32,51,317660,3,9,2,26,2,1,1,7688,0,40,1,8
30,3,194901,4,7,1,3,13,1,1,0,0,40,1,1
31,25,189265,3,9,1,1,1,1,5,0,0,40,1,1
42,3,124692,3,9,2,3,2,1,1,0,0,40,1,1
24,3,432376,1,13,1,14,69,1,1,0,0,40,1,1
38,3,65324,49,15,2,5,2,1,1,0,0,40,1,8
56,2,335605,3,9,2,7,2,1,1,0,1887,50,104,8
28,3,377869,11,10,2,14,5,1,5,4064,0,25,1,1
36,3,102864,3,9,1,17,13,1,5,0,0,40,1,1
53,3,95647,7,5,2,3,2,1,1,0,0,50,1,1
56,51,303090,11,10,2,14,2,1,1,0,0,50,1,1
49,25,197371,46,11,2,26,2,4,1,0,0,40,1,8
55,3,247552,11,10,2,14,2,1,1,0,0,56,1,1
22,3,102632,3,9,1,26,1,1,1,0,0,41,1,1
21,3,199915,11,10,1,7,13,1,5,0,0,40,1,1
40,3,118853,1,13,2,2,2,1,1,0,0,60,1,1
30,3,77143,1,13,1,2,13,4,1,0,0,40,114,1
29,1,267989,1,13,2,5,2,1,1,0,0,50,1,8
19,3,301606,11,10,1,7,13,4,1,0,0,35,1,1
47,3,287828,1,13,2,2,5,1,5,0,0,40,1,8
20,3,111697,11,10,1,1,13,1,5,0,1719,28,1,1
31,3,114937,14,12,2,1,2,1,1,0,0,40,1,8
39,3,365739,11,10,3,26,1,1,1,0,0,40,1,1
28,3,69621,14,12,1,14,1,1,5,0,0,60,1,1
24,3,43323,3,9,1,7,1,1,5,0,1762,40,1,1
38,2,120985,3,9,2,26,2,1,1,4386,0,35,1,1
37,3,254202,1,13,2,14,2,1,1,0,0,50,1,1
46,3,146195,14,12,3,24,1,4,5,0,0,36,1,1
38,22,125933,6,14,2,5,2,1,1,0,0,40,126,8
43,2,56920,3,9,2,26,2,1,1,0,0,60,1,1
27,3,163127,46,11,2,1,5,1,5,0,0,35,1,1
20,3,34310,11,10,1,14,13,1,1,0,0,20,1,1
49,3,81973,11,10,2,26,2,12,1,0,0,40,1,8
61,51,66614,3,9,2,26,2,1,1,0,0,40,1,1
27,3,232782,11,10,1,14,13,1,5,0,0,40,1,1
19,3,316868,11,10,1,7,13,1,1,0,0,30,15,1
45,3,196584,46,11,1,5,1,1,5,0,1564,40,1,8
70,3,105376,11,10,1,24,69,1,1,0,0,40,1,1
31,3,185814,3,9,1,15,17,4,5,0,0,30,1,1
22,3,175374,11,10,2,7,2,1,1,0,0,24,1,1
36,3,108293,3,9,138,7,17,1,5,0,0,24,1,1
64,3,181232,4,7,2,26,2,1,1,0,2179,40,1,1
47,25,186009,11,10,3,1,17,1,5,0,0,38,15,1
34,3,198183,3,9,1,1,1,1,5,0,0,40,1,1
33,3,163003,1,13,1,2,69,12,5,0,0,40,142,1
21,3,296158,3,9,1,26,13,1,1,0,0,35,1,1
48,3,187715,3,9,2,26,2,1,1,0,0,46,1,1
23,3,214542,1,13,1,3,1,1,1,0,0,40,1,1
71,2,494223,11,10,21,14,17,4,1,0,1816,2,1,1
29,3,191535,3,9,3,26,1,1,1,0,0,60,1,1
42,3,228456,1,13,21,7,69,4,1,0,0,50,1,1
25,3,252752,3,9,1,7,17,1,5,0,0,40,1,1
44,51,78374,6,14,3,2,17,12,5,0,0,40,1,1
28,3,88419,3,9,1,2,1,12,5,0,0,40,91,1
45,2,201080,6,14,2,14,2,1,1,0,0,40,1,8
36,3,207157,11,10,3,7,17,1,5,0,0,40,15,1
39,22,235485,14,12,1,2,1,1,1,0,0,42,1,1
46,1,102628,6,14,138,29,17,1,1,0,0,40,1,1
18,3,25828,4,7,1,3,13,1,1,0,0,16,1,1
66,25,54826,46,11,138,5,1,1,5,0,0,20,1,1
27,3,124953,3,9,1,7,1,1,1,0,1980,40,1,1
28,1,175325,3,9,2,29,2,1,1,0,0,40,1,1
51,3,96062,11,10,2,14,2,1,1,0,1977,40,1,8
27,3,428030,1,13,1,26,1,1,1,0,0,50,1,1
28,1,149624,1,13,2,5,2,1,1,0,0,40,1,8
27,3,253814,3,9,7,14,17,1,5,0,0,25,1,1
21,3,312956,3,9,1,26,13,4,1,0,0,40,1,1
34,3,483777,3,9,1,3,1,4,1,0,0,40,1,1
18,3,183930,3,9,1,7,13,1,1,0,0,12,1,1
